0,0,0,0,0,0,0,0,0,0,0
322,0,0,0,0,0,0,0,0,0,0
644,1,0,0,0,0,0,0,0,0,0
966,1,1,0,0,0,0,0,0,0,0
1288,1,1,1,0,0,0,0,0,0,0
1610,1,1,1,1,0,0,0,0,0,0
1932,1,1,1,1,1,0,0,0,0,0
2254,1,1,1,1,1,1,0,0,0,0
2576,1,1,1,1,1,1,1,0,0,0
2898,1,1,1,1,1,1,1,1,0,0
3220,1,1,1,1,1,1,1,1,1,0
3542,1,1,1,1,1,1,1,1,1,1
3864,0,1,1,1,1,1,1,1,1,1
4186,0,0,1,1,1,1,1,1,1,1
4508,0,0,0,1,1,1,1,1,1,1
4830,0,0,0,0,1,1,1,1,1,1
5152,0,0,0,0,0,1,1,1,1,1
5474,0,0,0,0,0,0,1,1,1,1
5796,0,0,0,0,0,0,0,1,1,1
6118,0,0,0,0,0,0,0,0,1,1
6440,0,0,0,0,0,0,0,0,0,1
6762,0,0,0,0,0,0,0,0,0,0
7084,1,1,1,1,1,0,0,0,0,0
7406,0,0,0,0,0,1,1,1,1,1
7728,1,1,0,0,0,0,0,0,0,0
8050,1,1,1,1,0,0,0,0,0,0
8372,1,1,1,1,1,1,0,0,0,0
8694,1,1,1,1,1,1,1,1,0,0
9016,1,1,1,1,1,1,1,1,1,1
9338,1,1,1,1,1,1,1,1,1,1
9660,1,1,1,1,1,1,1,1,1,1
9982,0,0,0,0,0,0,0,0,0,0
10304,1,1,1,1,1,1,1,1,1,1
10626,0,0,0,0,0,0,0,0,0,0
10948,1,1,0,0,1,1,1,1,1,1
11270,0,0,1,1,0,0,0,0,0,0
11592,1,1,0,0,1,1,1,1,1,1
11914,0,0,1,1,0,0,0,0,0,0
12236,0,0,0,0,0,0,0,0,0,0
12558,1,0,0,0,0,0,0,0,0,0
12880,1,1,0,0,0,0,0,0,0,0
13202,1,1,1,0,0,0,0,0,0,0
13524,1,1,1,1,0,0,0,0,0,0
13846,1,1,1,1,1,0,0,0,0,0
14168,1,1,1,1,1,1,0,0,0,0
14490,1,1,1,1,1,1,1,0,0,0
14812,1,1,1,1,1,1,1,1,0,0
15134,1,1,1,1,1,1,1,1,1,0
15456,1,1,1,1,1,1,1,1,1,1
